movie_name,movie_url,movie_opening,movie_weekend,movie_first_week,movie_total_collection,movie_worlwide,movie_genre,movie_release_date & movie length,movie_banner,movie_director,movie_director_url,movie_producer,movie_moviedetails,movie_actors
Blank,https://www.bollywoodmdb.com/movies/blank/16521,: 0.97 cr,: 3.72 cr,: 5.11 cr,: 5.15 cr,: ---,"Action, Thriller","03 May, 2019 | 1 hrs 51 mins",Director : Behzad Khambata,Tony D'souza,https://www.bollywoodmdb.com/celebrities/tony-d-souza/33549,"Hypotension and reflex tachycardia are potential consequences of rapid upward titration of CLEVIPREX®. If either occurs, decrease the dose of CLEVIPREX®. There is limited experience with short-duration therapy with beta-blockers as a treatment for CLEVIPREX®-induced tachycardia. Beta-blocker use for this purpose is not recommended.",Dihydropyridine calcium channel blockers can produce negative inotropic effects and exacerbate heart failure. Monitor heart failure patients carefully.,CLEVIPREX® contains approximately 0.2 g of lipid per mL (2.0 kcal). Lipid intake restrictions may be necessary for patients with significant disorders of lipid metabolism.
Kalank,https://www.bollywoodmdb.com/movies/shiddat/16252,: 21.60 cr,: 62.75 cr,: 73.70 cr,: 74.23 cr,: 121.96 cr,"Period, Drama, Romance","17 April, 2019 | 2 hrs 48 mins","Banner : Fox Star Studios, Dharma Productions, Nadiadwala Grandson Entertainment",Abhishek Varman,https://www.bollywoodmdb.com/celebrities/abhishek-varman/28462,"Producer : Karan Johar , Sajid Nadiadwala, Hiroo Johar","The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India.","Star : Varun Dhawan , Alia Bhatt, Sonakshi Sinha"
The Tashkent Files,https://www.bollywoodmdb.com/movies/the-tashkent-files/16441,: 0.40 cr,: 2.20 cr,: 3.50 cr,: 16.75 cr,: ---,"Drama, Period, Mystery, Thriller","12 April, 2019 | 2 hrs 24 mins",Banner : Zee Studios,Vivek Agnihotri,https://www.bollywoodmdb.com/celebrities/vivek-agnihotri/5242,"Hypotension and reflex tachycardia are potential consequences of rapid upward titration of CLEVIPREX®. If either occurs, decrease the dose of CLEVIPREX®. There is limited experience with short-duration therapy with beta-blockers as a treatment for CLEVIPREX®-induced tachycardia. Beta-blocker use for this purpose is not recommended.",Dihydropyridine calcium channel blockers can produce negative inotropic effects and exacerbate heart failure. Monitor heart failure patients carefully.,CLEVIPREX® contains approximately 0.2 g of lipid per mL (2.0 kcal). Lipid intake restrictions may be necessary for patients with significant disorders of lipid metabolism.
Romeo Akbar Walter,https://www.bollywoodmdb.com/movies/romeo-akbar-walter/16310,: 5.35 cr,: 20.85 cr,: 30 cr,: 36.54 cr,: 53.33 cr,"Spy, Action, Thriller","05 April, 2019 | 2 hrs 25 mins","Banner : Viacom18 Motion Pictures, Kyta Productions, VA Film Company",Robbie Grewal,https://www.bollywoodmdb.com/celebrities/robbie-grewal/34922,"Producer : Viacom18 Motion Pictures , Dheeraj Wadhawan, Ajay Kapoor","During the India-Pakistan war of 1971, an Indian banker is recruited by RAW (Research and Analysis Wing) for a covert operation deep inside Pakistan.","Star : John Abraham , Jackie Shroff, Mouni Roy"
Junglee,https://www.bollywoodmdb.com/movies/junglee/16225,: 3.35 cr,: 13.85 cr,: 21.20 cr,: 24.30 cr,: 32.53 cr,"Action, Thriller","29 March, 2019 | 1 hrs 55 mins",Banner : Junglee Pictures,Chuck Russell,https://www.bollywoodmdb.com/celebrities/chuck-russell/35171,"FREE Digital
Invoicing","The story revolves around a vet, who on his homecoming to his father's elephant reserve, encounters and fights an international poachers racket.","Star : Vidyut Jamwal , Pooja Sawant, Asha Bhat"
Kesari,https://www.bollywoodmdb.com/movies/kesari/16402,: 21.06 cr,: 78.07 cr,: 105.86 cr,: 150.91 cr,: 173.97 cr,"Period, Action, war","21 March, 2019 | 2 hrs 30 mins","Banner : Azure Entertainment, Cape of Good Films, Zee Studios",Anurag Singh,https://www.bollywoodmdb.com/celebrities/anurag-singh/4222,"Producer : Hiroo Johar , Aruna Bhatia, Karan Johar",The story of a Sikh warrior who participates in the Battle of Saragarhi while yearning for the respect of his estranged daughter.,"Star : Akshay Kumar , Parineeti Chopra, Vansh Bhardwaj"
Badla,https://www.bollywoodmdb.com/movies/badla/16486,: 5.04 cr,: 23.20 cr,: 38 cr,: 88.02 cr,: 130.12 cr,"Crime, Thriller","08 March, 2019 | 2 hrs","Banner : Red Chillies Entertainment, Azure Entertainment",Sujoy Ghosh,https://www.bollywoodmdb.com/celebrities/sujoy-ghosh/5082,"Producer : Akshai Puri , Shah Rukh Khan, Sunir Kheterpal",A lawyer investigates further into the suspicious circumstances surrounding the death of a young man.,"Star : Amitabh Bachchan , Taapsee Pannu, Amrita Singh"
Luka Chuppi,https://www.bollywoodmdb.com/movies/luka-chuppi/16490,: 8.01 cr,: 32.13 cr,: 53.70 cr,: 94.15 cr,: 122.84 cr,"Comedy, Romance","01 March, 2019 | 2 hrs 6 mins",Banner : Maddock Films,Laxman Utekar,https://www.bollywoodmdb.com/celebrities/laxman-utekar/18023,Producer : Dinesh Vijan,"Pretending to be married in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.","Star : Kartik Aaryan , Kriti Sanon, Aparshakti Khurrana"
Sonchiriya,https://www.bollywoodmdb.com/movies/sonchiriya/16439,: 1.20 cr,: 4.60 cr,: 6.55 cr,: 6.55 cr,: ---,"Crime, Action","01 March, 2019 | 2 hrs 26 mins",Banner : RSVP,Abhishek Chaubey,https://www.bollywoodmdb.com/celebrities/abhishek-chaubey/22801,Producer : Ronnie Screwvala,"Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.","Star : Sushant Singh Rajput , Bhumi Pednekar, Manoj Bajpai"
Total Dhamaal,https://www.bollywoodmdb.com/movies/total-dhamaal/15268,: 16.50 cr,: 62.40 cr,: 94.55 cr,: 150.76 cr,: 152.19 cr,Comedy,"22 February, 2019 | 2 hrs 10 mins",Banner : Fox Star Studios,Indra Kumar,https://www.bollywoodmdb.com/celebrities/indra-kumar/4484,"Producer : Ajay Devgn , Ashok Thakeria, Markand Adhikari",A group of people learn about a hidden treasure and then they race to find it and claim it.,"Star : Ajay Devgn , Anil Kapoor, Madhuri Dixit"
Gully Boy,https://www.bollywoodmdb.com/movies/gully-boy/16293,: 19.40 cr,: 72.45 cr,: 100.30 cr,: 139.38 cr,: 222.72 cr,Musical,"14 February, 2019 | 2 hrs 36 mins","Banner : Excel Entertainment, Tiger Baby",Zoya Akhtar,https://www.bollywoodmdb.com/celebrities/zoya-akhtar/11113,"Producer : Ritesh Sidhwani , Zoya Akhtar, Farhan Akhtar",A coming-of-age story based on the lives of street rappers in Mumbai.,"Star : Ranveer Singh , Alia Bhatt, Kalki Koechlin"
Amavas,https://www.bollywoodmdb.com/movies/amaavas/16446,: 0.75 cr,: 2.50 cr,: 2.85 cr,: 2.85 cr,: ---,Horror,"08 February, 2019 | 2 hrs 14 mins","Banner : Viiking Media & Entertainment Pvt Ltd., Simply West Productions Ltd, Weeping Grave Production",Bhushan Patel,https://www.bollywoodmdb.com/celebrities/bhushan-patel/27122,"Producer : Raina Sachiin Joshi , Dipen Amin","The lives of a couple turn into a nightmare, as dark forces lie in wait beneath the shadows of the haunted bungalow in which they have decided to stay.","Star : Sachiin Joshi , Nargis Fakhri, Vivan Bhatena"
Ek Ladki Ko Dekha Toh Aisa Laga,https://www.bollywoodmdb.com/movies/ek-ladki-ko-dekha-toh-aisa-laga/16437,: 3.30 cr,: 13.53 cr,: 19.68 cr,: 22.01 cr,: 36.78 cr,"Romance, Drama","01 February, 2019 | 2 hrs 1 mins","Banner : Vinod Chopra Films, Fox Star Studios",Shelly Chopra Dhar,https://www.bollywoodmdb.com/celebrities/shelly-chopra-dhar/35762,Producer : Vidhu Vinod Chopra,"The film tells the story of Sweety Chaudhary, a closeted lesbian, and her attempts to come out to her conservative and traditional family.","Star : Anil Kapoor , Sonam Kapoor, Rajkummar Rao"
Manikarnika: The Queen Of Jhansi,https://www.bollywoodmdb.com/movies/rani-laxmibai/354,: 8.75 cr,: 42.55 cr,: 61.15 cr,: 91.70 cr,: 129.74 cr,Biographical,"25 January, 2019 | 2 hrs 28 mins","Banner : Zee Studios, Kairos Kontent Studios",Krish,https://www.bollywoodmdb.com/celebrities/krish/31183,"Producer : Zee Studios , Kamal Jain","Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Raj.","Star : Jisshu Sengupta , Jisshu Sengupta, Kangana Ranaut"
Thackeray,https://www.bollywoodmdb.com/movies/thackeray/16428,: 6 cr,: 22.90 cr,: 31.60 cr,: 31.60 cr,: 31.60 cr,Biographical,"25 January, 2019 | 2 hrs 19 mins","Banner : Viacom18 Motion Pictures, Carnival Motion Pictures",Abhijit Panse,https://www.bollywoodmdb.com/celebrities/abhijit-panse/35686,"Producer : Viacom18 Motion Pictures , Shrikant Bhasi, Varsha Sanjay Raut","From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.","Star : Nawazuddin Siddiqui , Amrita Rao, Rajesh Khera"
Why Cheat India,https://www.bollywoodmdb.com/movies/cheat-india/16435,: 1.71 cr,: 6.80 cr,: 8.45 cr,: 8.45 cr,: 8.65 cr,"Drama, Social","18 January, 2019 | 2 hrs 1 mins","Banner : Ellipsis Entertainment, Emraan Hashmi Films",Soumik Sen,https://www.bollywoodmdb.com/celebrities/soumik-sen/13638,"Producer : Bhushan Kumar , Krishan Kumar, Tanuj Garg","The movie focuses on existing malpractices in country's education system, the whole concept of buying your way through education, jobs and earnings. Even with an evolving education system, the country faces scams like SSC and HSC paper leaks, CBSE re-examination, Vyaapam, etc. The movie tries to shift the attention of people to understand the vulnerability of hardworking and gifted students who get left out.","Star : Emraan Hashmi , Shreya Dhanwanthary, Snigdhadeep Chatterjee"
The Accidental Prime Minister,https://www.bollywoodmdb.com/movies/the-accidental-prime-minister/16347,: 3.40 cr,: 11.90 cr,: 16.30 cr,: 16.30 cr,: 31.84 cr,Biographical,"11 January, 2019 | 1 hrs 52 mins",Director : Vijay Ratnakar Gutte,Sunil Bohra,https://www.bollywoodmdb.com/celebrities/sunil-bohra/5115,"Star : Anupam Kher , Akshaye Khanna, Arjun Mathur",,Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.
Uri: The Surgical Strike,https://www.bollywoodmdb.com/movies/uri/16389,: 8.20 cr,: 35.73 cr,: 70.94 cr,: 244.06 cr,: 260.86 cr,Action,"11 January, 2019 | 2 hrs 18 mins",Banner : RSVP,Aditya Dhar,https://www.bollywoodmdb.com/celebrities/aditya-dhar/5315,Producer : Ronnie Screwvala,"Based on the true events of 2016, when Indian Army avenged a deadly terrorist attack by carrying out a surgical strike.","Star : Vicky Kaushal , Yami Gautam, Paresh Rawal"
Simmba,https://www.bollywoodmdb.com/movies/simmba/16420,: 20.72 cr,: 75.11 cr,: 150.81 cr,: 240.22 cr,: 317.61 cr,"Action, Comedy, Drama","28 December, 2018 | 2 hrs 39 mins","Banner : Dharma Productions, Reliance Entertainment, Rohit Shetty Picturez",Rohit Shetty,https://www.bollywoodmdb.com/celebrities/rohit-shetty/4858,"Producer : Hiroo Johar , Rohit Shetty, Apoorva Mehta","Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.","Star : Ranveer Singh , Sara Ali Khan, Sonu Sood"
KGF,https://www.bollywoodmdb.com/movies/kgf/16543,: 2.10 cr,: 9.20 cr,: 21.45 cr,: 43.93 cr,: ---,"Action, Drama","21 December, 2018 | 2 hrs 35 mins","Banner : Hombale Films, Excel Entertainment",Prashanth Neel,https://www.bollywoodmdb.com/celebrities/prashanth-neel/36544,Producer : Vijay Kiragandur,"A period drama narrates the 1700-year-old history of oppressed waging wars against their oppressors. Set in the early 80s, KGF - the first chapter centers the protagonist who leads a battle against oppressors.","Star : Yash , Srinidhi Shetty"
Zero,https://www.bollywoodmdb.com/movies/aanand-l-rai-s-next/16345,: 19.35 cr,: 54.60 cr,: 82.60 cr,: 88.85 cr,: 170.12 cr,"Comedy, Romance","21 December, 2018 | 2 hrs 38 mins","Banner : Red Chillies Entertainment, Colour Yellow Productions Pvt Ltd",Aanand L Rai,https://www.bollywoodmdb.com/celebrities/aanand-l-rai/19131,Producer : Gauri Khan,"The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life.","Star : Shah Rukh Khan , Anushka Sharma, Katrina Kaif"
Kedarnath,https://www.bollywoodmdb.com/movies/kedarnath/16363,: 7.25 cr,: 27.75 cr,: 42.45 cr,: 57.44 cr,: 95.36 cr,Drama,"07 December, 2018 | 2 hrs","Banner : Guy In The Sky Pictures, RSVP",Abhishek Kapoor,https://www.bollywoodmdb.com/celebrities/abhishek-kapoor/6209,"Producer : Ronnie Screwvala , Pragya Kapoor","A Hindu-Muslim love story, Kedarnath portrays how a Muslim pithoo saves a Hindu tourist from the Uttrakhand floods at the pilgrimage, and the love that eventually develops between them.","Star : Sushant Singh Rajput , Sara Ali Khan, Nitish Bharadwaj"
2,https://www.bollywoodmdb.com/movies/robot-2-0/16214,: 20.25 cr,: 95 cr,: 139.75 cr,: 177.75 cr,: 520 cr,"Sci-fi, Action","29 November, 2018 | 2 hrs 26 mins","Banner : Lyca Productions, Dharma Productions",Shankar,https://www.bollywoodmdb.com/celebrities/shankar/4120,Producer : Subaskaran,"After facing a threat that is beyond the current understanding of science, the Government seeks the help of scientists. Dr. Vaseegaran suggests to assemble Chitti to fight against it.","Star : Rajinikanth , Akshay Kumar, Amy Jackson"
Bhaiaji Superhittt,https://www.bollywoodmdb.com/movies/bhaiyyaji-superhit/15310,: 1 cr,: 3.20 cr,: 4.25 cr,: 6.25 cr,: ---,"Comedy, Action","23 November, 2018 | 2 hrs 13 mins",Banner : Metro Movies,Neerraj Pathak,https://www.bollywoodmdb.com/celebrities/neerraj-pathak/29182,Producer : Chirag Mahendra Dhariwal,,"Star : Sunny Deol , Preity Zinta, Arshad Warsi"
Pihu,https://www.bollywoodmdb.com/movies/pihu/16480,: 0.45 cr,: 1.60 cr,: 2.50 cr,: 2.50 cr,: ---,"Drama, Thriller","16 November, 2018 | 1 hrs 33 mins","Banner : RSVP, Roy Kapur Films",Vinod Kapri,https://www.bollywoodmdb.com/celebrities/vinod-kapri/33546,"Producer : Ronnie Screwvala , Siddharth Roy Kapur","The social thriller starring the two year baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler, she is occasionally trapped in the accidental situations.",Star : Myra Vishwakarma
Mohalla Assi,https://www.bollywoodmdb.com/movies/mohalla-assi/15008,: 0.25 cr,: 0.55 cr,: 1.80 cr,: 1.80 cr,: ---,Drama,"16 November, 2018 | 2 hrs",Banner : Crossword Entertainment Pvt Ltd,Dr Chandrakprakash Dwivedi,https://www.bollywoodmdb.com/celebrities/dr-chandrakprakash-dwivedi/27012,Producer : Vinay Tiwari,A Sanskrit priest decides to take matters in his hand when the locals of holy town Banaras stars to lure foreign tourists with fake spiritual gurus.,"Star : Sunny Deol , Saakshi Tanwar, Saurabh Shukla"
Thugs Of Hindostan,https://www.bollywoodmdb.com/movies/thugs-of-hindostan/16229,: 52.25 cr,: 123 cr,: 140.40 cr,: 151.04 cr,: 251.84 cr,"Action, Adventure","08 November, 2018 | 2 hrs 45 mins",Banner : Yash Raj Films,Vijay Krishna Acharya,https://www.bollywoodmdb.com/celebrities/vijay-krishna-acharya/5241,Producer : Aditya Chopra,"In the 18th century, the British East India Company is pitted against Khudabaksh, a 'Thug of the Seas' fighting to liberate his country. The English, not knowing how to defeat him, call on a talented con artist, Firangi Mallah.","Star : Amitabh Bachchan , Aamir Khan, Katrina Kaif"
Baazaar,https://www.bollywoodmdb.com/movies/baazaar/16309,: 3.07 cr,: 11.93 cr,: 18.05 cr,: 28.02 cr,: ---,"Crime, Drama","26 October, 2018 | 2 hrs 20 mins",Banner : Emmay Entertainment Pvt. Ltd,Gauravv K Chawla,https://www.bollywoodmdb.com/celebrities/gauravv-k-chawla/34996,"Producer : Dheeraj Wadhawan , Ajay Kapoor, Monisha Advani",,"Star : Saif Ali Khan , Rohan Mehra, Chitrangada Singh"
Badhaai Ho,https://www.bollywoodmdb.com/movies/badhaai-ho/16414,: 7.35 cr,: 45.70 cr,: 66.10 cr,: 136.80 cr,: 180 cr,Comedy,"18 October, 2018 | 2 hrs 6 mins","Banner : Chrome Pictures, Junglee Pictures",Amit Ravindernath Sharma,https://www.bollywoodmdb.com/celebrities/amit-ravindernath-sharma/33022,"Producer : Vineet Jain , Aleya Sen, Hemant Bhandari",A man faces embarrassment in the society when he finds out his mother is pregnant,"Star : Ayushman Khurana , Sanya Malhotra, Neena Gupta"
Tumbbad,https://www.bollywoodmdb.com/movies/tumbbad/16494,: 0.65 cr,: 3.25 cr,: 5.85 cr,: 13.48 cr,: 8.09 cr,"Horror, Thriller","12 October, 2018 | 1 hrs 53 mins","Banner : Eros International, Colour Yellow Productions Pvt Ltd",Rahi Anil Barve,https://www.bollywoodmdb.com/celebrities/rahi-anil-barve/36168,"Producer : Sohum Shah , Aanand L Rai, Mukesh Shah",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Star : Sohum Shah , Jyoti Malshe, Dhundhiraj Prabhakar Jogalekar"
AndhaDhun,https://www.bollywoodmdb.com/movies/mud-mud-ke-na-dekh/16351,: 2.70 cr,: 15 cr,: 27.65 cr,: 41.90 cr,: 71.74 cr,"Thriller, Suspense, Crime","05 October, 2018 | 2 hrs 20 mins","Banner : Viacom18 Motion Pictures, Matchbox Pictures",Sriram Raghavan,https://www.bollywoodmdb.com/celebrities/sriram-raghavan/5021,"Star : Ayushman Khurana , Radhika Apte, Tabu",,"He sees what he shouldn't. She sees what he couldn't. So the question is, does he see it or not?"
Sui Dhaaga: Made In India,https://www.bollywoodmdb.com/movies/sui-dhaaga-made-in-india/16359,: 8.30 cr,: 36.60 cr,: 62.50 cr,: 79.02 cr,: 100 cr,"Drama, Social","28 September, 2018 | 2 hrs 2 mins",Banner : Yash Raj Films,Sharat Katariya,https://www.bollywoodmdb.com/celebrities/sharat-katariya/28511,Producer : Maneesh Sharma,"A heart-warming story of pride and self-reliance, rooted in the heart of India.","Star : Varun Dhawan , Anushka Sharma, Raghubir Yadav"
Pataakha,https://www.bollywoodmdb.com/movies/chhuriyaan/16462,: 0.90 cr,: 4.05 cr,: 7.64 cr,: 7.64 cr,: ---,Drama,"28 September, 2018 | 2 hrs 16 mins","Banner : Kyta Productions, B4U Motion Pictures, Vishal Bhardwaj Pictures Pvt Ltd",Vishal Bhardwaj,https://www.bollywoodmdb.com/celebrities/vishal-bhardwaj/23359,"Producer : Dheeraj Wadhawan , Ajay Kapoor, Ishan Saksena","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage separates them.","Star : Sanya Malhotra , Radhika Madan, Sunil Grover"
Batti Gul Meter Chalu,https://www.bollywoodmdb.com/movies/batti-gul-meter-chalu/16404,: 6.76 cr,: 23.26 cr,: 34.43 cr,: 37.26 cr,: 44.63 cr,Drama,"21 September, 2018 | 2 hrs 43 mins","Banner : T-Series Super Cassettes Industries Ltd., Krti Pictures",Shree Narayan Singh,https://www.bollywoodmdb.com/celebrities/shree-narayan-singh/11836,"Producer : Bhushan Kumar , Krishan Kumar, Nitin Chandrachud","The life of three friends takes a tragic turn due to an inflated electricity bill, which leads to a courtroom drama and social awakening.","Star : Shahid Kapoor , Shraddha Kapoor, Yami Gautam"
Manmarziyaan,https://www.bollywoodmdb.com/movies/manmarziyaan/16130,: 3.52 cr,: 14.33 cr,: 21.40 cr,: 26.45 cr,: 39.93 cr,"Drama, Romance","14 September, 2018 | 2 hrs 37 mins","Banner : Colour Yellow Productions Pvt Ltd, Phantom Productions, Eros International",Anurag Kashyap,https://www.bollywoodmdb.com/celebrities/anurag-kashyap/4210,"Producer : Aanand L Rai , Vikas Bahl, Vikramaditya Motwane","A love triangle between a spirited young woman, her outgoing boyfriend and a fiance who's husband material.","Star : Abhishek Bachchan , Taapsee Pannu, Vicky Kaushal"
Yamla Pagla Deewana Phir Se,https://www.bollywoodmdb.com/movies/yamla-pagla-deewana-phir-se/16376,: 1.82 cr,: 6.32 cr,: 9.42 cr,: 9.42 cr,: 14.70 cr,Comedy,"31 August, 2018 | 2 hrs 28 mins",Director : Navaniat Singh,Bobby Deol,https://www.bollywoodmdb.com/celebrities/bobby-deol/11,,,
Stree,https://www.bollywoodmdb.com/movies/stree/16433,: 6.83 cr,: 32.27 cr,: 60.39 cr,: 129.67 cr,: 150.18 cr,"Comedy, Horror","31 August, 2018 | 2 hrs 10 mins",Banner : Maddock Films,Amar Kaushik,https://www.bollywoodmdb.com/celebrities/amar-kaushik/25266,"Producer : Dinesh Vijan , Raj Nidimoru, Krishna D.K.","Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles.","Star : Rajkummar Rao , Shraddha Kapoor, Aparshakti Khurrana"
Happy Phirr Bhag Jayegi,https://www.bollywoodmdb.com/movies/happy-bhaag-jayegi-returns/16399,: 2.70 cr,: 11.78 cr,: 18.11 cr,: 18.11 cr,: 27.85 cr,Comedy,"24 August, 2018 | 2 hrs 17 mins","Banner : Eros International, Colour Yellow Productions Pvt Ltd",Mudassar Aziz,https://www.bollywoodmdb.com/celebrities/mudassar-aziz/9650,"Producer : Aanand L Rai , Krishika Lulla",,"Star : Sonakshi Sinha , Diana Penty, Jimmy Shergill"
Gold,https://www.bollywoodmdb.com/movies/gold/16253,: 25.25 cr,: 71.30 cr,: 89.30 cr,: 107.37 cr,: 149.50 cr,,"15 August, 2018 | 2 hrs 33 mins",Banner : Excel Entertainment,Reema Kagti,https://www.bollywoodmdb.com/celebrities/reema-kagti/4868,"Producer : Ritesh Sidhwani , Farhan Akhtar","Set in 1948, the historic story of India's first Olympic medal post their independence.","Star : Akshay Kumar , Mouni Roy, Kunal Kapoor"
Satyameva Jayate,https://www.bollywoodmdb.com/movies/raakh/16429,: 20.52 cr,: 56.91 cr,: 75.09 cr,: 75.09 cr,: 106.67 cr,"Action, Thriller","15 August, 2018 | 2 hrs 21 mins","Banner : T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd",Milap Zaveri,https://www.bollywoodmdb.com/celebrities/milap-zaveri/10405,"Producer : Bhushan Kumar , Krishan Kumar, Monisha Advani","DCP Shivansh has been tasked to catch Vir, the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line, the law.","Star : John Abraham , Manoj Bajpai, Aisha Sharma"
Fanney Khan,https://www.bollywoodmdb.com/movies/fanney-khan/16199,: 2.15 cr,: 7.15 cr,: 9.85 cr,: 9.85 cr,: 16.55 cr,Drama,"03 August, 2018 | 2 hrs 10 mins","Banner : Rakeysh Omprakash Mehra Pictures, T-Series Super Cassettes Industries Ltd.",Atul Manjrekar,https://www.bollywoodmdb.com/celebrities/atul-manjrekar/35305,"Producer : Bhushan Kumar , Rakeysh Omprakash Mehra, Anil Kapoor",Fanney Khan is a struggling singer who wants to make his daughter a big name in music world.,"Star : Anil Kapoor , Aishwarya Rai, Rajkummar Rao"
Mulk,https://www.bollywoodmdb.com/movies/mulk/16386,: 1.68 cr,: 8.16 cr,: 12.81 cr,: 17.51 cr,: 26.28 cr,Drama,"03 August, 2018 | 2 hrs 20 mins","Banner : Benaras Media Works, Soham Rockstar Entertainment",Anubhav Sinha,https://www.bollywoodmdb.com/celebrities/anubhav-sinha/4215,"Producer : Deepak Mukut , Anubhav Sinha",One family member tries to help her own family which are trapped in a dark controversy.,"Star : Rishi Kapoor , Taapsee Pannu, Rajat Kapoor"
Karwaan,https://www.bollywoodmdb.com/movies/karwaan/16418,: 1.60 cr,: 8.10 cr,: 12.40 cr,: 16.55 cr,: 22.87 cr,"Drama, Comedy","03 August, 2018 | 2 hrs","Banner : RSVP, Ishka Films",Akarsh Khurana,https://www.bollywoodmdb.com/celebrities/akarsh-khurana/28480,"Producer : Ronnie Screwvala , Priti Gupta","The movie depicts a journey carried out from Bangalore to Kochi by two friends, the reserved Avinash played by Dulquer Salmaan, and his friend Shaukat played by Irrfan Khan with a lighter take on life, who pick up the chirpy teenager Mithila on the way.","Star : Irrfan Khan , Dulquer Salmaan, Mithila Palkar"
Dhadak,https://www.bollywoodmdb.com/movies/dhadak/16410,: 8.71 cr,: 33.67 cr,: 51.56 cr,: 69.16 cr,: 109.88 cr,"Drama, Romance","20 July, 2018 | 2 hrs 18 mins","Banner : Dharma Productions, Zee Studios",Shashank Khaitan,https://www.bollywoodmdb.com/celebrities/shashank-khaitan/30999,"Producer : Karan Johar , Zee Studios, Hiroo Johar","Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings.","Star : Ishaan Khatter , Janhvi Kapoor, Ashutosh Rana"
Soorma,https://www.bollywoodmdb.com/movies/sandeep-singh-biopic/16415,: 3.20 cr,: 13.85 cr,: 21.21 cr,: 30.11 cr,: 38.14 cr,"Biographical, Sports","13 July, 2018 | 2 hrs 11 mins","Banner : Sony Pictures Networks Productions, CS Films",Shaad Ali,https://www.bollywoodmdb.com/celebrities/shaad-ali/5026,"Producer : Sony Pictures Networks Productions , Chitrangada Singh, Deepak Singh","Soorma is the story of the triumph of the human spirit, about a player, who made headlines for his miraculous comeback after facing a near death experience through sheer determination, hard work and unrelenting passion for the sport.","Star : Diljit Dosanjh , Taapsee Pannu, Angad Bedi"
Sanju,https://www.bollywoodmdb.com/movies/sanjay-dutt-s-biopic/16346,: 34.75 cr,: 120.06 cr,: 202.51 cr,: 341.22 cr,: 579 cr,Biographical,"29 June, 2018 | 2 hrs 42 mins","Banner : Vinod Chopra Films, Rajkumar Hirani Films, Fox Star Studios",Rajkumar Hirani,https://www.bollywoodmdb.com/celebrities/rajkumar-hirani/10926,"Producer : Vidhu Vinod Chopra , Rajkumar Hirani","A biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence and personal life.","Star : Ranbir Kapoor , Paresh Rawal, Manisha Koirala"
Race 3,https://www.bollywoodmdb.com/movies/race-3/16378,: 29.17 cr,: 106.47 cr,: 144.51 cr,: 161.04 cr,: 300.04 cr,"Action, Thriller","15 June, 2018 | 2 hrs 40 mins","Banner : Tips Music Films, Salman Khan Films",Remo D'Souza,https://www.bollywoodmdb.com/celebrities/remo-d-souza/23614,"Producer : Salma Khan , Ramesh S. Taurani",Revolves around a family that deals in borderline crime; ruthless and vindictive to the core.,"Star : Salman Khan , Jacqueline Fernandez, Anil Kapoor"
